year,day,min,avg,count,fastest
2017,1,19,82,76,4FF9103B Robert Xiao (AoC++)
2017,2,39,134,71,12CADE95 xiaowuc1
2017,3,76,481,49,392ED34D Angus Lim
2017,4,22,68,69,886B7AB5 glguy (AoC++)
2017,5,29,67,77,D99FF6B7 sciyoshi
2017,6,34,112,85,6F560C5B etotheipi1
2017,7,307,704,42,A3D9E6EB Sander Land
2017,8,20,49,92,ED4B5CD4 samczsun  (AoC++)
2017,9,32,94,89,AD6FFC21 Elmer Le
2017,10,160,540,71,B1323B8E (anonymous user #193354)
2017,11,23,109,72,C102132C Michael Fogleman (AoC++)
2017,12,17,110,79,5D073B18 ethankward
2017,13,79,404,63,BEECD7CC Ivan Kazmenko
2017,14,135,650,57,EEB691E4 arknave (AoC++)
2017,15,34,156,73,4FF9103B Robert Xiao (AoC++)
2017,16,117,559,50,BBF2C614 Simon Parent
2017,17,104,404,54,9633994C Antonio Molina
2017,18,301,1038,49,BBF2C614 Simon Parent
2017,19,22,89,86,B1323B8E (anonymous user #193354)
2017,20,76,358,57,12CADE95 xiaowuc1
2017,21,13,80,91,007431F7 toraora
2017,22,125,323,87,BBF2C614 Simon Parent
2017,23,889,1901,41,B1323B8E (anonymous user #193354)
2017,24,45,221,88,32E6752A daveagp (AoC++)
2017,25,3,16,91,69905EFA Brandon Zhang
